Longitude,Latitude,Date,ID
-109.795569,32.307708,2006.01.19,2212
-110.765283,33.209525,2006.01.19,2213
-108.400942,31.115194,2006.03.12,2214
-107.280178,30.475642,2006.03.12,2215
-107.927386,32.327753,2006.04.05,2216
-107.419228,30.647406,2006.04.05,2217
-107.582808,32.272653,2006.04.06,2218
-104.852381,36.510064,2006.04.15,2219
-107.698253,31.681833,2006.04.15,2220
-105.413231,34.535883,2006.04.15,2221
-103.082047,33.274,2006.04.15,2222
-107.513214,31.732356,2006.04.17,2223
-111.756717,36.801433,2006.04.17,2224
-111.380942,35.471075,2006.04.17,2225
-109.7976,31.41505,2006.04.27,2226
-109.529633,31.841861,2006.04.27,2227
-108.958447,31.539869,2006.04.27,2228
-108.640178,30.994422,2006.04.27,2229
-108.231386,30.983747,2006.04.27,2230
-107.205758,29.816086,2006.04.27,2231
-106.677206,28.932747,2006.04.27,2232
-106.373064,28.661208,2006.04.28,2233
-108.008433,31.284247,2006.05.04,2234
-108.14885,31.327422,2006.05.09,2235
-108.017156,31.265339,2006.05.22,2236
-102.622028,34.247303,2006.09.21,2237
-110.639986,40.277322,2006.11.14,2238
-111.575958,38.138692,2006.11.14,2239
-111.559758,36.914389,2006.11.14,2240
-102.498492,33.063503,2006.11.15,2241
-108.154967,31.281408,2006.11.29,2242
-111.3685,37.425894,2007.01.21,2243
-99.225719,30.977197,2007.02.01,2244
-106.203314,29.611264,2007.02.23,2245
-107.568897,31.173153,2007.02.23,2246
-105.982028,30.754003,2007.02.23,2247
-107.030983,31.503853,2007.02.27,2248
-102.570097,32.626436,2007.02.27,2249
-108.406928,31.069156,2007.02.28,2250
-102.706228,33.221317,2007.02.28,2251
-102.823911,33.227158,2007.03.01,2252
-111.018078,37.000403,2007.03.27,2253
-109.139167,36.53835,2007.03.27,2254
-107.891094,31.148019,2007.03.28,2255
-106.435581,30.416033,2007.03.28,2256
-106.481158,30.331106,2007.04.10,2257
-108.052847,31.198728,2007.04.12,2258
